capitulo,titulo_corto,tipo_archivo,tamano,tamano_bytes_aprox,fecha_publicacion,url_descarga,url_pagina
III.2,Subsidio por enfermedad,xls,Descargar iii_2_subsidio-por-enfermedad.xls,,08/08/2025,https://www.bps.gub.uy/bps/file/23245/1/iii_2_subsidio-por-enfermedad.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.1,Asignaciones familiares,xls,Descargar iii_1_asignaciones-familiares.xls,,08/08/2025,https://www.bps.gub.uy/bps/file/23244/1/iii_1_asignaciones-familiares.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
II,,xls,Descargar ii_recaudacion.xls,,08/08/2025,https://www.bps.gub.uy/bps/file/23243/1/ii_recaudacion.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
I,,xls,Descargar i_ingresos-e-egresos-globales.xls,,07/08/2025,https://www.bps.gub.uy/bps/file/23242/1/i_ingresos-e-egresos-globales.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V,,xls,Descargar v_regimen-de-ahorro-individual.xls,,04/07/2025,https://www.bps.gub.uy/bps/file/23131/1/v_regimen-de-ahorro-individual.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
IV,,xls,Descargar iv_prestaciones-de-pasividad.xls,,04/07/2025,https://www.bps.gub.uy/bps/file/23130/1/iv_prestaciones-de-pasividad.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.4,"Subsidios por Maternidad, Paternidad y Cuidado del recién nacido",xls,Descargar iii_4_subsidios-por-mat-pat-y-crn.xls,,04/07/2025,https://www.bps.gub.uy/bps/file/23129/1/iii_4_subsidios-por-mat-pat-y-crn.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.3,Subsidio por desempleo,xls,Descargar iii_3_subsidio-por-desempleo.xls,,04/07/2025,https://www.bps.gub.uy/bps/file/23128/1/iii_3_subsidio-por-desempleo.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.2,Subsidio por enfermedad,xls,Descargar iii_2_subsidio-por-enfermedad.xls,,04/07/2025,https://www.bps.gub.uy/bps/file/23127/1/iii_2_subsidio-por-enfermedad.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.1,Asignaciones familiares,xls,Descargar iii_1_asignaciones-familiares.xls,,04/07/2025,https://www.bps.gub.uy/bps/file/23126/1/iii_1_asignaciones-familiares.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
II,,xls,Descargar ii_recaudacion.xls,,04/07/2025,https://www.bps.gub.uy/bps/file/23125/1/ii_recaudacion.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
I,,xls,Descargar i_ingresos-e-egresos-globales.xls,,04/07/2025,https://www.bps.gub.uy/bps/file/23124/1/i_ingresos-e-egresos-globales.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V,,xls,Descargar v_regimen-de-ahorro-individual.xls,,30/05/2025,https://www.bps.gub.uy/bps/file/23057/1/v_regimen-de-ahorro-individual.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
IV,,xls,Descargar iv_prestaciones-de-pasividad.xls,,30/05/2025,https://www.bps.gub.uy/bps/file/23056/1/iv_prestaciones-de-pasividad.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.4,"Subsidios por Maternidad, Paternidad y Cuidado del recién nacido",xls,Descargar iii_4_subsidios-por-mat-pat-y-crn.xls,,30/05/2025,https://www.bps.gub.uy/bps/file/23055/1/iii_4_subsidios-por-mat-pat-y-crn.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.3,Subsidio por desempleo,xls,Descargar iii.3_subsidio-por-desempleo.xls,,30/05/2025,https://www.bps.gub.uy/bps/file/23054/1/iii.3_subsidio-por-desempleo.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.2,Subsidio por enfermedad,xls,Descargar iii.2_subsidio-por-enfermedad.xls,,30/05/2025,https://www.bps.gub.uy/bps/file/23053/1/iii.2_subsidio-por-enfermedad.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.1,Asignaciones familiares,xls,Descargar iii.1---asignaciones-familiares.xls,,30/05/2025,https://www.bps.gub.uy/bps/file/23052/1/iii.1---asignaciones-familiares.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
II,,xls,Descargar ii.-recaudacion.xls,,30/05/2025,https://www.bps.gub.uy/bps/file/23051/1/ii.-recaudacion.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
I,,xls,Descargar i.--ingresos-y-egresos-globales.xls,,30/05/2025,https://www.bps.gub.uy/bps/file/23050/1/i.--ingresos-y-egresos-globales.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V,,xls,Descargar v.-regimen-de-ahorro-individual.xls,,06/05/2025,https://www.bps.gub.uy/bps/file/22981/1/v.-regimen-de-ahorro-individual.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
,,xls,Descargar pasividad-.xls,,06/05/2025,https://www.bps.gub.uy/bps/file/22980/1/pasividad-.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.4,"Subsidios por Maternidad, Paternidad y Cuidado del recién nacido",xls,Descargar paternidad-maternidad.xls,,06/05/2025,https://www.bps.gub.uy/bps/file/22979/1/paternidad-maternidad.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.3,Subsidio por desempleo,xls,Descargar desempleo.xls,,06/05/2025,https://www.bps.gub.uy/bps/file/22978/1/desempleo.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.2,Subsidio por enfermedad,xls,Descargar enf.xls,,06/05/2025,https://www.bps.gub.uy/bps/file/22977/1/enf.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.1,Asignaciones familiares,xls,Descargar asig.xls,,06/05/2025,https://www.bps.gub.uy/bps/file/22976/1/asig.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
II,,xls,Descargar ii.-recaudacion.xls,,06/05/2025,https://www.bps.gub.uy/bps/file/22975/1/ii.-recaudacion.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
I,,xls,Descargar i.-ingresos-y-egresos-globales.xls,,06/05/2025,https://www.bps.gub.uy/bps/file/22974/1/i.-ingresos-y-egresos-globales.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V,,pdf,Descargar v_regimen-de-ahorro-individual.pdf,,02/04/2025,https://www.bps.gub.uy/bps/file/22837/1/v_regimen-de-ahorro-individual.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
IV,,pdf,Descargar iv_prestaciones-de-pasividad.pdf,,02/04/2025,https://www.bps.gub.uy/bps/file/22836/1/iv_prestaciones-de-pasividad.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.4,"Subsidios por Maternidad, Paternidad y Cuidado del recién nacido",pdf,Descargar iii_4_subsidios-por-mat-pat-y-crn.pdf,,02/04/2025,https://www.bps.gub.uy/bps/file/22835/1/iii_4_subsidios-por-mat-pat-y-crn.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.3,Subsidio por desempleo,pdf,Descargar iii_3_subsidio-por-desempleo.pdf,,02/04/2025,https://www.bps.gub.uy/bps/file/22834/1/iii_3_subsidio-por-desempleo.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.2,Subsidio por enfermedad,pdf,Descargar iii_2_subsidio-por-enfermedad.pdf,,02/04/2025,https://www.bps.gub.uy/bps/file/22833/1/iii_2_subsidio-por-enfermedad.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.1,Asignaciones familiares,pdf,Descargar iii_1_asignaciones-familiares.pdf,,02/04/2025,https://www.bps.gub.uy/bps/file/22832/1/iii_1_asignaciones-familiares.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
II,,pdf,Descargar ii_recaudacion.pdf,,22/04/2025,https://www.bps.gub.uy/bps/file/22831/1/ii_recaudacion.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
I,,pdf,Descargar i_ingresos-e-egresos-globales.pdf,,02/04/2025,https://www.bps.gub.uy/bps/file/22830/1/i_ingresos-e-egresos-globales.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V,,pdf,Descargar v_regimen-de-ahorro-individual.pdf,,11/03/2025,https://www.bps.gub.uy/bps/file/22750/1/v_regimen-de-ahorro-individual.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
IV,,pdf,Descargar iv_prestaciones-de-pasividad.pdf,,11/03/2025,https://www.bps.gub.uy/bps/file/22749/1/iv_prestaciones-de-pasividad.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.4,"Subsidios por Maternidad, Paternidad y Cuidado del recién nacido",pdf,Descargar iii_4_subsidios-por-mat-pat-y-crn.pdf,,11/03/2025,https://www.bps.gub.uy/bps/file/22748/1/iii_4_subsidios-por-mat-pat-y-crn.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.3,Subsidio por desempleo,pdf,Descargar iii_3_subsidio-por-desempleo.pdf,,11/03/2025,https://www.bps.gub.uy/bps/file/22747/1/iii_3_subsidio-por-desempleo.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.2,Subsidio por enfermedad,pdf,Descargar iii_2_subsidio-por-enfermedad.pdf,,11/03/2025,https://www.bps.gub.uy/bps/file/22746/1/iii_2_subsidio-por-enfermedad.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.1,Asignaciones familiares,pdf,Descargar iii_1_asignaciones-familiares.pdf,,11/03/2025,https://www.bps.gub.uy/bps/file/22745/1/iii_1_asignaciones-familiares.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
II,,pdf,Descargar ii_recaudacion.pdf,,11/03/2025,https://www.bps.gub.uy/bps/file/22744/1/ii_recaudacion.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
I,,pdf,Descargar i_ingresos-e-egresos-globales.pdf,,11/03/2025,https://www.bps.gub.uy/bps/file/22743/1/i_ingresos-e-egresos-globales.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V,,xls,Descargar v.-regimen-de-ahorro-individual.xls,,03/02/2025,https://www.bps.gub.uy/bps/file/22594/1/v.-regimen-de-ahorro-individual.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
IV,,xls,Descargar iv.-prestaciones-de-pasividad.xls,,03/02/2025,https://www.bps.gub.uy/bps/file/22593/1/iv.-prestaciones-de-pasividad.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.4,"Subsidios por Maternidad, Paternidad y Cuidado del recién nacido",xls,Descargar iii.4-subsidios-por-maternidad-paternidad-y-cuidado-del-recien-nacido.xls,,03/02/2025,https://www.bps.gub.uy/bps/file/22592/1/iii.4-subsidios-por-maternidad-paternidad-y-cuidado-del-recien-nacido.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.3,Subsidio por desempleo,xls,Descargar iii.3-subsidio-por-desempleo.xls,,03/02/2025,https://www.bps.gub.uy/bps/file/22591/1/iii.3-subsidio-por-desempleo.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.2,Subsidio por enfermedad,xls,Descargar iii.2-subsidio-por-enfermedad.xls,,03/02/2025,https://www.bps.gub.uy/bps/file/22590/1/iii.2-subsidio-por-enfermedad.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.1,Asignaciones familiares,xls,Descargar iii.1-asignaciones-familiares.xls,,03/02/2025,https://www.bps.gub.uy/bps/file/22589/1/iii.1-asignaciones-familiares.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
II,,xls,Descargar ii.-recaudacion.xls,,03/02/2025,https://www.bps.gub.uy/bps/file/22588/1/ii.-recaudacion.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
I,,xls,Descargar i.-ingresos-y-egresos-globales.xls,,07/02/2025,https://www.bps.gub.uy/bps/file/22587/1/i.-ingresos-y-egresos-globales.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V,,xls,Descargar v.-regimen-de-ahorro-individual.xls,,31/12/2024,https://www.bps.gub.uy/bps/file/22494/1/v.-regimen-de-ahorro-individual.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
IV,,xls,Descargar iv.-prestaciones-de-pasividad.xls,,31/12/2024,https://www.bps.gub.uy/bps/file/22493/1/iv.-prestaciones-de-pasividad.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.4,"Subsidios por Maternidad, Paternidad y Cuidado del recién nacido",xls,Descargar iii.4---subsidio-por-maternidad-paternidad-y-cuidados-parentales.xls,,31/12/2024,https://www.bps.gub.uy/bps/file/22492/1/iii.4---subsidio-por-maternidad-paternidad-y-cuidados-parentales.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.3,Subsidio por desempleo,pdf,Descargar iii_3_subsidio-por-desempleo.pdf,,14/01/2025,https://www.bps.gub.uy/bps/file/22491/1/iii_3_subsidio-por-desempleo.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.2,Subsidio por enfermedad,pdf,Descargar iii_2_subsidio-por-enfermedad.pdf,,14/01/2025,https://www.bps.gub.uy/bps/file/22490/1/iii_2_subsidio-por-enfermedad.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.1,Asignaciones familiares,pdf,Descargar iii_1_asignaciones-familiares.pdf,,31/12/2024,https://www.bps.gub.uy/bps/file/22489/1/iii_1_asignaciones-familiares.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
II,,pdf,Descargar ii_recaudacion.pdf,,31/12/2024,https://www.bps.gub.uy/bps/file/22488/1/ii_recaudacion.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
I,,pdf,Descargar i_ingresos-e-egresos-globales.pdf,,31/12/2024,https://www.bps.gub.uy/bps/file/22487/1/i_ingresos-e-egresos-globales.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V,,xls,Descargar v.-regimen-de-ahorro-individual.xls,,02/12/2024,https://www.bps.gub.uy/bps/file/22418/1/v.-regimen-de-ahorro-individual.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
IV,,xls,Descargar iv.-prestaciones-de-pasividad.xls,,02/12/2024,https://www.bps.gub.uy/bps/file/22417/1/iv.-prestaciones-de-pasividad.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.4,"Subsidios por Maternidad, Paternidad y Cuidado del recién nacido",xls,Descargar iii.4-subsidios-por-maternidad-paternidad-y-cuidado-del-recien-nacido.xls,,02/12/2024,https://www.bps.gub.uy/bps/file/22416/1/iii.4-subsidios-por-maternidad-paternidad-y-cuidado-del-recien-nacido.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.3,Subsidio por desempleo,xls,Descargar iii.3-seguro-por-desempleo.xls,,14/01/2025,https://www.bps.gub.uy/bps/file/22415/1/iii.3-seguro-por-desempleo.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.2,Subsidio por enfermedad,xls,Descargar iii.2-seguro-por-enfermedad.xls,,14/01/2025,https://www.bps.gub.uy/bps/file/22414/1/iii.2-seguro-por-enfermedad.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.1,Asignaciones familiares,xls,Descargar iii.1-asignaciones-familiares.xls,,02/12/2024,https://www.bps.gub.uy/bps/file/22413/1/iii.1-asignaciones-familiares.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
II,,xls,Descargar ii.-recaudacion.xls,,02/12/2024,https://www.bps.gub.uy/bps/file/22412/1/ii.-recaudacion.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
I,,xls,Descargar i.-ingresos-y-egresos-globales.xls,,02/12/2024,https://www.bps.gub.uy/bps/file/22411/1/i.-ingresos-y-egresos-globales.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V,,xls,Descargar v.-regimen-de-ahorro-individual.xls,,11/11/2024,https://www.bps.gub.uy/bps/file/22177/1/v.-regimen-de-ahorro-individual.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
IV,,xls,Descargar iv.-prestaciones-de-pasividad.xls,,11/11/2024,https://www.bps.gub.uy/bps/file/22176/1/iv.-prestaciones-de-pasividad.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.4,"Subsidios por Maternidad, Paternidad y Cuidado del recién nacido",xls,Descargar iii.4---subsidio-por-maternidad-paternidad-y-cuidados-parentales.xls,,05/11/2024,https://www.bps.gub.uy/bps/file/22175/1/iii.4---subsidio-por-maternidad-paternidad-y-cuidados-parentales.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.3,Subsidio por desempleo,xls,Descargar iii.3---subsidio-por-desempleo.xls,,14/01/2025,https://www.bps.gub.uy/bps/file/22174/1/iii.3---subsidio-por-desempleo.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.2,Subsidio por enfermedad,xls,Descargar iii.2---subsidio-por-enfermedad.xls,,14/01/2025,https://www.bps.gub.uy/bps/file/22173/1/iii.2---subsidio-por-enfermedad.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.1,Asignaciones familiares,xls,Descargar iii.1---asignaciones-familiares.xls,,05/11/2024,https://www.bps.gub.uy/bps/file/22172/1/iii.1---asignaciones-familiares.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
II,,xls,Descargar ii.-recaudacion.xls,,05/11/2024,https://www.bps.gub.uy/bps/file/22171/1/ii.-recaudacion.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
I,,xls,Descargar i.-ingresos-y-egresos-globales.xls,,05/11/2024,https://www.bps.gub.uy/bps/file/22170/1/i.-ingresos-y-egresos-globales.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V,,pdf,Descargar v_regimen-de-ahorro-individual.pdf,,05/11/2024,https://www.bps.gub.uy/bps/file/22056/1/v_regimen-de-ahorro-individual.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
IV,,pdf,Descargar iv_prestaciones-de-pasividad.pdf,,05/11/2024,https://www.bps.gub.uy/bps/file/22055/1/iv_prestaciones-de-pasividad.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.4,"Subsidio por maternidad, paternidad y cuidados parentales",pdf,Descargar iii_4_subsidios-por-mat-pat-y-crn.pdf,,11/11/2024,https://www.bps.gub.uy/bps/file/22054/1/iii_4_subsidios-por-mat-pat-y-crn.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.3,Subsidio por desempleo,pdf,Descargar iii_3_subsidio-por-desempleo.pdf,,11/11/2024,https://www.bps.gub.uy/bps/file/22053/1/iii_3_subsidio-por-desempleo.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.2,Subsidio por enfermedad,pdf,Descargar iii_2_subsidio-por-enfermedad.pdf,,11/11/2024,https://www.bps.gub.uy/bps/file/22052/1/iii_2_subsidio-por-enfermedad.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.1,Asignaciones familiares,pdf,Descargar iii_1_asignaciones-familiares.pdf,,11/11/2024,https://www.bps.gub.uy/bps/file/22051/1/iii_1_asignaciones-familiares.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
II,,pdf,Descargar ii_recaudacion.pdf,,05/11/2024,https://www.bps.gub.uy/bps/file/22050/1/ii_recaudacion.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
I,,pdf,Descargar i_ingresos-y-egresos-globales.pdf,,05/11/2024,https://www.bps.gub.uy/bps/file/22049/1/i_ingresos-y-egresos-globales.pdf,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
V,,xls,Descargar v.-regimen-de-ahorro-individual.xls,,05/11/2024,https://www.bps.gub.uy/bps/file/21976/1/v.-regimen-de-ahorro-individual.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
IV,,xls,Descargar iv.-prestaciones-de-pasividad.xls,,05/11/2024,https://www.bps.gub.uy/bps/file/21975/1/iv.-prestaciones-de-pasividad.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.4,"Subsidio por maternidad, paternidad y cuidados parentales",xls,Descargar iii.4---subsidio-por-maternidad-paternidad-y-cuidados-parentales.xls,,11/11/2024,https://www.bps.gub.uy/bps/file/21974/1/iii.4---subsidio-por-maternidad-paternidad-y-cuidados-parentales.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.3,Subsidio por desempleo,xls,Descargar iii.3---subsidio-por-desempleo.xls,,11/11/2024,https://www.bps.gub.uy/bps/file/21973/1/iii.3---subsidio-por-desempleo.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.2,Subsidio por enfermedad,xls,Descargar iii.2---subsidio-por-enfermedad.xls,,11/11/2024,https://www.bps.gub.uy/bps/file/21972/1/iii.2---subsidio-por-enfermedad.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
III.1,Asignaciones familiares,xls,Descargar iii.1---asignaciones-familiares.xls,,11/11/2024,https://www.bps.gub.uy/bps/file/21971/1/iii.1---asignaciones-familiares.xls,https://www.bps.gub.uy/bps/observatorio/cuadro.jsp?contentid=12780
